Nodes  Static     Dynamic       SlackConscious     uSched       callsite        genColl   guided                callsite_dq         callsite_fd   bestfs_t      vSched  full
1      1120.269   1115.201	969.9532           1050.32    	968.781         972.351   1076.34              	968.5523            1050.11       918.3514	1012.9 	1012.48
2      806.2459   790.7862      989.8624           767.252      988.4614        999.035   779.514               993.2425            764.225       528.2211	720.71	717.315
4      403.3221   379.2514      998.5354           350.946      996.8894        999.362   373.889               996.3874            348.351       280.512	341.01	337.995
8      201.6021   189.9414      1002.952           168.552      1002.587        1003.363  185.154               1001.525            166.015       144.516	149.24	148.257
16     100.6915   85.83521      1015.941           72.2352      1010.261        1017.855  79.3541               1009.068            71.8971       68.7125	66.302	65.6592
32     50.44921   41.54425      1019.956           34.3279      1015.764        1020.241  39.0412               1014.151            33.9995       30.0134	31.273	30.9091
64     25.82826   20.83345      1027.351           17.5516      1021.461        1029.408  19.7123               1019.312            17.0412       14.0612	15.681	15.4351
128    12.28013   9.656461      1029.963           8.21351      1024.476        1032.453  8.98492               1022.355            7.85154       6.46214	7.3321	7.10025
256    6.372422   5.045353   	79.95123           4.01255      79.99344        80.09019  4.60422              	1025.281            3.76634       3.51145	3.4502	3.37936
512    3.151251   2.421341     	1040.568           1.98634     	1030.448        1048.556  2.28956               1029.085            1.82041       1.91314	1.6956	1.63331
1024   1.575387   1.181924      0.801893           0.96131	0.801612   	0.803563  1.10245           	0.780468            0.88992   	  0.85052     	0.8016	0.77186
