Nodes  Static     Dynamic       SlackConscious     uSched       callsite        genColl   guided                callsite_dq         callsite_fd   bestfs_t      vSched  full
1      1120.269   1115.201	969.9532           1050.32    	968.781         972.351   1076.34              	968.5523            1050.11       918.3514	1012.9 	1004.18
2      806.2459   790.7862      989.8624           767.252      988.4614        999.035   779.514               993.2425            764.225       528.2211	735.71	711.315
4      580.3221   499.2514      998.5354           356.546      996.8894        999.362   368.889               996.3874            346.351       280.512	343.61	329.925
8      417.6021   189.9414      1002.952           168.552      1002.587        1003.363  185.154               1001.525            169.015       144.516	149.24	148.257
16     300.6915   79.83521      1015.941           69.2352      1010.261        1017.855  74.3541               1009.068            68.9571       69.0125	65.502	64.8592
32     216.4921   90.44425      1019.956           57.5279      1015.764        1020.241  67.5641               1014.151            55.5795       30.0134	49.773	48.4291
64     155.8826   19.63345      1027.351           14.1516      1021.461        1029.408  17.6423               1019.312            13.9512       14.0612	13.451	13.3351
128    112.2013   9.956461      1029.963           6.69851      1024.476        1032.453  8.73492               1022.355            6.56314       6.46214	6.3521	6.19025
256    80.72422   4.835353   	79.95123           3.43255      79.99344        80.09019  4.43422              	1025.281            3.32334       3.51145	3.0502	2.97936
512    58.79251   2.511341     	1040.568           2.01534     	1030.448        1048.556  2.10452               1029.085            1.90241       1.91314	1.8041	1.77931
1024   41.87538   1.231924      0.801893           0.96131	0.801612   	0.803563  1.00245           	0.780468            0.91592   	  0.85352     	0.8416	0.83046
