Nodes  Static     Dynamic       SlackConscious     uSched       callsite        genColl   guided                callsite_dq         callsite_fd   bestfs_t      vSched  full
1      1120.269   1070.201	969.953            954.342    	968.781         972.351   1038.34              	968.552             955.315       918.3514	876.59 	878.814
2      700.4398   685.5614      989.862            590.252      988.461         999.035   667.214               993.242             581.225       528.2211	558.51	551.125
4      354.6051   339.2514      998.535            296.546      996.889         999.362   320.889               996.387             286.351       280.512	279.61	270.125
8      175.5721   165.4414      1002.952           153.552      1002.587        1003.363  160.154               1001.525            148.015       144.516	139.24	135.257
16     87.59153   79.83521      1015.941           69.2352      1010.261        1017.855  74.3541               1009.068            68.9571       69.0125	65.502	64.8592
32     43.79241   40.44425      1019.956           30.5279      1015.764        1020.241  37.5641               1014.151            29.5795       30.0134	28.773	28.4291
64     21.88426   19.63345      1027.351           14.1516      1021.461        1029.408  17.6423               1019.312            13.9512       14.0612	13.451	13.3351
128    10.93304   9.956461      1029.963           6.69851      1024.476        1032.453  8.73492               1022.355            6.56314       6.46214	6.3521	6.19025
256    5.432422   4.835353   	79.95123           3.43255      79.99344        80.09019  4.43422              	1025.281            3.32334       3.51145	3.0502	2.97936
512    2.738925   2.411341     	1040.568           1.62534     	1030.448        1048.556  2.22452               1029.085            1.58241       1.90314	1.4741	1.40331
1024   1.365187   1.151924      0.801893           0.79531	0.80161   	0.803563  1.10516           	0.780468            0.77592   	  0.80352     	0.7346	0.70495
