Nodes  Static     Dynamic       SlackConscious     uSched       callsite        genColl   guided                callsite_dq         callsite_fd   bestfs_t      vSched  full
1      230.2692   215.2012	969.953            190.342    	968.781         972.351   209.345               968.552             187.315       94.3514	183.24 	182.814
2      240.1984   220.5614      989.862            199.252      988.461         999.035   215.214               993.242             197.225       994.522	189.51	187.424
4      252.4851   237.2514      998.535            206.546      996.889         999.362   226.889               996.387             199.351       1003.20	198.61	196.125
8      258.5521   233.4414      1002.952           213.552      1002.587        1003.363  228.154               1001.525            211.015       1009.42	201.56	196.326
16     264.5153   236.3521      1015.941           219.352      1010.261        1017.855  232.352               1009.068            216.271       1026.53	209.02	199.259
32     272.5242   245.4425      1019.956           224.279      1015.764        1020.241  238.561               1014.151            222.579       1029.45	214.57	211.291
64     279.8426   258.3345      1027.351           231.156      1021.461        1029.408  251.623               1019.312            240.329       1037.53	221.69	219.125
128    288.8304   266.6461      1029.963           243.851      1024.476        1032.453  262.492               1022.355            241.325       1059.26	230.36	228.251
256    295.7242   273.8553   	1031.051           247.525      1027.134        1035.491  267.642              	1025.281            246.831       1070.61	239.02	237.611
512    306.3852   293.1341     	1040.568           255.153      1030.448        1048.556  275.252               1029.085            254.341       1078.13	245.61	242.331
1024   318.5982   296.5519      1069.189           270.312	1038.647   	1072.163  289.135           	1038.068            268.923   	  1088.61      	260.67 	258.921
